town,town_slug,county,council,lat,lon,population_bucket,country,timezone
Hatfield,hatfield,Hertfordshire,Hertfordshire County Council,,,S,UK,Europe/London
Potters Bar,potters-bar,Hertfordshire,Hertsmere Borough Council,,,M,UK,Europe/London
Welwyn Garden City,welwyn-garden-city,Hertfordshire,Welwyn Hatfield Borough Council,,,M,UK,Europe/London
Barnet,barnet,Greater London,London Borough of Barnet,,,L,UK,Europe/London
Borehamwood,borehamwood,Hertfordshire,Hertsmere Borough Council,,,M,UK,Europe/London
https://docs.google.com/spreadsheets/d/e/2PACX-1vT7TA_CR3IHpl5oVVDgK7Zs-M-gu7NWEcCKf58Ltb8bDhNWApc0AV5WDM4BZrhsgQ/pub?gid=908255209&single=true&output=csv
